module,user_task,required_behavior,backend_status,api_status,ui_status,state_completeness,gap_type,priority,next_action,evidence,backend_recheck_status,backend_recheck_notes
全局,共享组件,跨页控件视觉/状态一致，页面 CSS 不相互偷依赖,N/A,N/A,MISSING,MISSING,前端架构,P0,拆 tokens.css/shell.css/components.css/page css；建设 Native JS component/state layer,Results .segmented 缺样式即已暴露,FRONTEND_ONLY,No additional business backend authority is required for this interaction; existing facts/errors are sufficient.
全局,操作审计查看,重要维护/运行操作可追溯，管理员可查询,MISSING_IN_NEW_CHAIN,MISSING,MISSING,MISSING,合同功能,P2,后续安全/运维切片补审计查询 UI/API；本轮先保留接口位,V1.1 安全功能,READY_BACKEND,Append-only audit_events storage + admin GET /api/audit-events filters/pagination; Flask after_request hook is coded.
全局,设置,“设置”只能在有真实产品能力时出现,MISSING,MISSING,FAKE_VISUAL,MISSING,功能完整性,P1,删除静态“设置”或实现明确设置范围，禁止无响应装饰入口,base.html,PRODUCT_SCOPE_UNDEFINED,No real product scope for Settings has been frozen. Backend must not invent settings APIs; remove/hide visual entry until scope exists.
全局,报告/导出,具备权限的用户可输出已冻结结果/报告数据,PARTIAL_PERMISSION,MISSING,DISABLED_PLACEHOLDER,MISSING,合同功能,P1,先冻结导出对象/格式/权限，再实现；不要启用假按钮,results.html；principal results.export,READY_SOURCE_DATA_RENDERER_DEFERRED,POST /api/results/export-data returns report-data.v1 canonical source facts with results.export permission; final file format/template renderer is not frozen.
Base Data,查看机场基础库,列表、分页/按需加载、搜索筛选、详情,IMPLEMENTED_REPOSITORY,MISSING,MISSING,MISSING,前后端链接,P0,建立 catalog API + Base Data UI,AirportRepository list/get,READY_BACKEND,GET /api/airports supports query/role/region/limit/offset and returns total + metadata revision/timestamps.
Base Data,新增机场,严格 canonical 字段，服务端返回对象替换本地,IMPLEMENTED_REPOSITORY,MISSING,MISSING,MISSING,前后端链接,P0,POST /api/airports + 表单状态/字段错误,AirportRepository.save_airport,READY_BACKEND,POST /api/airports strict canonical create.
Base Data,编辑机场,编辑基础对象，不改已有 Situation 副本,IMPLEMENTED_REPOSITORY,MISSING,MISSING,MISSING,前后端链接,P0,PUT detail + 乐观/明确保存状态,ENG-S1 复制边界,READY_BACKEND,PUT /api/airports/{id} with expected_revision optimistic lock; existing Situation copies remain independent.
Base Data,删除机场,删除规则明确，并处理引用/不可删除原因,MISSING,MISSING,MISSING,MISSING,后端能力,P1,先冻结引用策略，再加 repository/API/UI；不能直接物理删,AirportRepository 无 delete_airport,READY_BACKEND,DELETE /api/airports/{id} with expected_revision and saved-Situation reference protection.
Base Data,查看/维护任务模板,MissionRecord 列表、详情、增删改,IMPLEMENTED_REPOSITORY,MISSING,MISSING,MISSING,前后端链接,P0,公开 missions CRUD + 页面,MissionRepository save/get/list/delete,READY_BACKEND,Mission CRUD + paging/search + reference protection; GET /api/missions/history exposes frozen historical task sources.
Base Data,查看/维护机型,机型列表与允许字段编辑,PARTIAL_REPOSITORY,MISSING,MISSING,MISSING,前后端链接,P1,按已冻结字段开放 GET/PUT；未决字段继续阻塞,AirportRepository aircraft types,READY_BACKEND,Aircraft type CRUD with revision; resource-requirements aggregate replacement is versioned.
Base Data,保障资源基础数据,显示资源类型及可编辑范围，与机场库存/情境副本边界明确,PARTIAL_REPOSITORY,MISSING,MISSING,MISSING,语义/链接,P1,先确认一级对象边界，再设计页面；不按效果图虚构独立业务对象,resource type repository,READY_BACKEND,Resource type CRUD with revision + aircraft/resource requirement read/write support.
Base Data,导入/导出,按明确格式批量导入，逐条错误报告，事务/冲突策略明确,PARTIAL_LOW_LEVEL,BLOCKED_BY_FORMAT_DECISION,MISSING,MISSING,语义阻塞,P2,D7/格式冻结后实施；V1.1 要求不能用“按钮存在”代替,ENG-S1 D7,SEMANTIC_BLOCKER,"Canonical CRUD is ready, but bulk JSON/CSV package shape, duplicate/update policy and transaction/error-report semantics are not frozen."
Base Data,分页/大数据量,大库下不一次性塞满 DOM；搜索/筛选/分页保持响应,REPO_LIST,MISSING,MISSING,MISSING,性能/UX,P1,API 查询参数与表格虚拟/分页策略一起设计,V1.1 查询响应目标,READY_BACKEND,Airport/Mission catalog and Run/Situation/Audit history queries are server paginated; airport filter/search is server-side.
Situation,查看情境列表,仅可见有权限情境；显示保存状态、更新时间、owner 等必要信息,IMPLEMENTED,GET_IMPLEMENTED,MISSING,MISSING,前端缺失,P0,建立 Situation 主页/选择器，不再仅供 Run 下拉使用,SituationApi.list,READY_BACKEND,GET /api/situations supports q/limit/offset/total with owner scope.
Situation,打开情境,加载完整 canonical working copy；地图/列表/Inspector 同源,IMPLEMENTED_READ,GET_IMPLEMENTED,MISSING,MISSING,前端缺失,P0,Situation page + state store,SituationApi.detail,READY_BACKEND,GET /api/situations/{id} returns canonical saved aggregate + content hash.
Situation,新建情境,创建空/基于选择内容的 Working Copy，显式保存,REPO_SAVE_EXISTS,MISSING,MISSING,MISSING,API/前端缺失,P0,POST /api/situations,SituationRepository.save_situation,READY_BACKEND,POST /api/situations creates whole canonical Situation with ownership.
Situation,保存编辑,整对象 PUT，expected_content_hash 冲突可处理,REPO_SAVE_EXISTS,MISSING,MISSING,MISSING,API/状态缺失,P0,PUT + conflict state + field focus,content_hash metadata,READY_BACKEND,PUT /api/situations/{id} requires expected_content_hash and saves the whole Working Copy.
Situation,删除情境,权限/引用约束明确，危险操作确认,MISSING_PUBLIC_FLOW,MISSING,MISSING,MISSING,功能缺失,P1,定义已被历史 Run 引用时的删除/归档规则，再实施,ENG-S2 target DELETE,READY_BACKEND,DELETE /api/situations/{id} requires expected_content_hash; immutable Run snapshots survive; response reports active/history refs.
Situation,从基础库加入机场,复制当前 AirportBase+OperationalProfile 为独立 SituationAirport,IMPLEMENTED_SERVICE,MISSING,MISSING,MISSING,前后端链接,P0,Add 模式 + 选择列表 + PUT 整对象,copy_airport_into_situation,READY_BACKEND,POST /api/situations/working-copy/copy-airport performs the base/profile copy boundary without persisting.
Situation,从基础库加入任务,复制 MissionRecord 值，不保持可变引用,IMPLEMENTED_SERVICE,MISSING,MISSING,MISSING,前后端链接,P0,任务 Add 模式 + PUT,copy_mission_into_situation,READY_BACKEND,POST /api/situations/working-copy/copy-mission supports catalog or historical mission input without persisting.
Situation,移除机场/任务,阻止破坏引用完整性的移除，并给出原因,IMPLEMENTED_DOMAIN_PARTIAL,MISSING,MISSING,MISSING,前后端链接,P0,Working Copy reducer 调 domain 规则，错误映射到对象,Situation domain,READY_BACKEND,Whole Working Copy PUT + domain removal rules; airport removal rejects damage references.
Situation,编辑机场/任务副本,只改当前 Situation 副本；与 Base Data 编辑严格分离,IMPLEMENTED_DOMAIN,MISSING,MISSING,MISSING,前端缺失,P0,Inspector view/edit 状态 + one-editor rule,ENG-S2,READY_BACKEND,Whole Working Copy strict canonical PUT; base records are not mutated.
Situation,恢复基础数据,显式 restore-base 重新复制当前基础库值，不静默同步,IMPLEMENTED_SERVICE_PRIMITIVE,MISSING,MISSING,MISSING,交互/API,P1,明确按钮、diff/确认、PUT,copy airport service,READY_BACKEND,copy-airport Working Copy transform re-copies current base + operational profile; frontend then explicitly saves.
Situation,维护损毁场景,新增/编辑/删除 DamageScenario 与事件；不猜未冻结字段,IMPLEMENTED_DOMAIN,MISSING,MISSING,MISSING,前后端链接,P0,基于当前 canonical Damage schema 设计编辑器；整对象 PUT,domain/damage.py,READY_BACKEND,Damage scenarios/events live in strict Situation aggregate; target/object validation is server-side.
Situation,地图/列表双向选择,单击=view，多选=Add，列表/地图/Inspector 同步,N/A,N/A,MISSING,MISSING,交互核心,P0,建立 SelectionModel；不能从旧 dispatch 复制混合编辑链,ENG-S2,FRONTEND_ONLY,No additional business backend authority is required for this interaction; existing facts/errors are sufficient.
Situation,未保存离开,dirty 状态、离开确认、保存/放弃、冲突恢复,HASH_SUPPORT,MISSING,MISSING,MISSING,状态机,P0,WorkingCopy state machine,ENG-S2,READY_BACKEND,Server provides content_hash/optimistic conflict facts; dirty-navigation warning itself is frontend-only.
Situation,Overview 展开/收起,覆盖地图且不 resize；内容多时内部滚动，过渡自然,N/A,N/A,MISSING,MISSING,视觉/交互,P1,共享 Disclosure/Overlay；不使用 display 跳变,visual contracts,FRONTEND_ONLY,No additional business backend authority is required for this interaction; existing facts/errors are sufficient.
Indicator,查看默认指标体系,系统首次进入默认加载受保护的“默认指标集 V1.1”，完整展示已确认三级指标体系,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,COMPLETE,已闭环,P0,F3 已实现；后续只做真实浏览器视觉验收,近期人工决定 + 指标设计交接,READY_BACKEND,Seeded default V1.1 set: 3 L1 / 14 L2 / 58 L3. UI opens the default unless a specific set is selected.
Indicator,新建自定义指标集,系统默认 V1.1 始终保留；有指标维护权限的用户可基于任一已发布指标集复制为独立草稿，修改后发布为普通自建指标集，不替换系统默认,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,COMPLETE,已闭环,P0,F3 已实现：指标集选择、新建草稿、发布；不增加空白一级/二级结构设计器,IndicatorSet / clone_to_draft / publish_draft / indicators.html / indicators.js,READY_BACKEND,Custom published sets remain is_default=false; seeded V1.1 remains the unique system default.
Indicator,浏览三层指标树,一级、二级、三级均可完整到达；按当前一级/二级逐层展开，避免一次铺开全部节点,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,COMPLETE,已闭环,P0,F3 已实现层级浏览与统一详情区,前端设计交接,READY_BACKEND,Canonical three-level tree is rendered without frontend-derived metric facts.
Indicator,新增/编辑/删除节点,层级、排序、父子约束清晰；不把算法参数塞进节点,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,COMPLETE,已闭环,P0,仅用户自建草稿允许维护非核心三级指标；一级/二级与核心三级受保护,Indicator 独立边界,READY_BACKEND,Draft-only L3 CRUD is server-authoritative with set revision locking and core protection.
Indicator,专家管理,专家动态增删改，不固定人数,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,COMPLETE,已闭环,P1,F3 专家管理弹层已接 Expert CRUD,ENG-S3,READY_BACKEND,Expert CRUD with permission and submitted-score reference protection.
Indicator,三级指标专家赋值,唯一输入层 L3；0–100；每专家独立,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,COMPLETE,已闭环,P0,F3 已实现按专家评分、按二级分组录入与完整提交,ENG-S3,READY_BACKEND,"Aggregate expert score-sheet GET/PUT, L3-only 0-100 validation."
Indicator,草稿/提交,draft 不参与汇总；submitted 参与；状态可追踪,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,COMPLETE,已闭环,P0,F3 已实现整张评分表 draft/submitted 与 revision,ENG-S3,READY_BACKEND,Score sheet has draft/submitted status and aggregate revision; submit must cover every enabled L3.
Indicator,查看权重,权重只读显示，系统计算；不得成为 Run 优化权重,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,COMPLETE,已闭环,P0,已冻结：提交专家均值后，在同一二级指标的启用三级子项内归一化；全0等权,指标设计交接明确不参与算法/结果,READY_BACKEND,Weight rule frozen as submitted_expert_mean_sibling_normalization_v1; draft score sheets do not participate.
Run,选择情境/损毁/配置,只暴露已确认 RunConfig，变化使验证失效,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,GOOD,已实现,P2,保留，视觉重构时不破坏 fingerprint 逻辑,run.js,READY_BACKEND,Run APIs already validate canonical RunConfig and accessible saved Situation.
Run,验证配置,后端 preflight，无副作用；错误/警告精确展示,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,PARTIAL,状态体验,P1,改善字段定位和 warning/action 关系,RunApi.validate,READY_BACKEND,Validation returns validated_input_hash for the exact frozen input closure.
Run,提交运行,只有最新验证通过的同一配置可提交,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,GOOD,已实现,P2,保留,run.js,READY_BACKEND,Submit can require expected_input_hash; stale external Situation/catalog mutation returns RUN_VALIDATION_STALE.
Run,当前/队列/历史,刷新后可恢复；历史可查日志/结果,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,PARTIAL,交互完善,P1,改善高数据量历史、筛选与 reconnect，不改事实源,run.js,READY_BACKEND,Server-side Run history supports status/id/Situation/task/selected-airport/damage/cluster/time filters + total paging.
Run,运行进度,只显示可信算法 progress；否则显示阶段，不伪造成百分比,STRUCTURED_EVENTS,IMPLEMENTED,INCORRECT_FALLBACK,PARTIAL,语义/视觉,P0,移除 completedStage/4 百分比回退；改“阶段 n/4”,run.js stageProgress,READY_BACKEND,Structured append-only events and public stage facts are backend-ready; misleading fallback is frontend-only bug.
Run,运行日志,每条结构化事件只展示一次，可增量查看,IMPLEMENTED,IMPLEMENTED,BUG,PARTIAL,实现缺陷,P0,修复 renderEvents 同一 line append 两次；再设计日志密度/过滤,run.js,READY_BACKEND,Incremental structured events are backend-ready; duplicate rendering is frontend-only bug.
Run,取消运行,明确请求取消与最终 cancelled 的差异，处理竞态,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,GOOD,已实现,P2,视觉上强化 requested vs terminal,RunApi.cancel,READY_BACKEND,Queued/running cancellation semantics are persisted and race-safe.
Run,Advanced/Validation 展开,互斥、稳定 header、过渡自然、内容多少不跳坏布局,N/A,N/A,PARTIAL,WEAK,视觉/交互,P1,共享 Disclosure state；高度过渡+内部滚动,run.css/run.js,FRONTEND_ONLY,No additional business backend authority is required for this interaction; existing facts/errors are sufficient.
Single Run,打开成功 Run,仅 succeeded；读取 detail+snapshot situation+solution+metrics,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,GOOD,已实现,P2,保留事实链,single-run.js,READY_BACKEND,Succeeded-only result gates and immutable snapshot/result reads are implemented.
Single Run,五摘要/三中部/四底部,全机场，不 TopN，不显示成功 Run completion/shortfall,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,PARTIAL,视觉韧性,P1,重构尺寸/字体/容器，不改指标口径,single-run,READY_BACKEND,Single Run reads canonical Solution/Metrics/Snapshot; required Metrics leaves are backend-derived.
Single Run,对象时序切换,全部/机场/任务/机型，完整对象选择,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,PARTIAL,分析交互,P1,图表增加 tooltip/选窗/联动详情,single-run.js,READY_BACKEND,Metrics expose backend-derived overall/object timelines.
Single Run,空间布局,应表达真实空间关系或明确为结构示意,IMPLEMENTED_DATA,IMPLEMENTED,MISLEADING_SVG,PARTIAL,视觉语义,P1,优先小型 Leaflet；或明确改名“航链结构示意”,single-run.js lon/lat 独立缩放,READY_BACKEND,Coordinates/chains are backend facts; misleading stretched SVG is a frontend rendering issue.
Single Run,详情 Dock,对象点击打开；可关闭；不挤压主内容,IMPLEMENTED_DATA,IMPLEMENTED,IMPLEMENTED,PARTIAL,交互细节,P1,改 transform/visibility 状态、焦点/ESC/返回焦点；不 display 跳变,single-run.css,READY_BACKEND,All required detail facts are available from canonical result payloads; dock state is frontend-only.
Single Run,方案关注,无冻结阈值时不自动告警,N/A,N/A,IMPLEMENTED_NEUTRAL,GOOD,已实现,P2,保持中性，不为“丰富页面”发明阈值,attention panel,FRONTEND_ONLY,No additional business backend authority is required for this interaction; existing facts/errors are sufficient.
GIS Runtime,打开运行态势,只接受 succeeded，Snapshot+Solution+Metrics 同源,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,GOOD,已实现,P2,保留,runtime API,READY_BACKEND,Succeeded Run runtime projection is implemented.
GIS Runtime,地图壳与 Shell 对齐,地图坐标必须以公共 Shell content area 为准,N/A,N/A,BUG,BROKEN,布局错误,P0,统一 shell CSS variables；runtime 不再硬写 56/72,gis-runtime.css,FRONTEND_ONLY,No additional business backend authority is required for this interaction; existing facts/errors are sufficient.
GIS Runtime,机场/任务/航链显示,完整 origin→mission→return；每条 route 可追溯 path_id,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,GOOD,已实现,P2,保留,runtime projection,READY_BACKEND,Runtime uses frozen Situation + canonical complete sortie chains.
GIS Runtime,图层控制,对象可见性与角色/状态高亮应分离,IMPLEMENTED_FACTS,IMPLEMENTED,SEMANTICALLY_CONFUSED,PARTIAL,交互模型,P0,分两组：对象可见性 vs 状态强调；不要用重叠角色 checkbox 做过滤,shouldShowAirport,READY_BACKEND,Runtime exposes stable role/object/route facts and all frozen OD distances; visibility semantics are frontend state.
GIS Runtime,默认适应范围,默认聚焦实际运行足迹，可切换查看 Situation 全部对象,IMPLEMENTED_FACTS,IMPLEMENTED,WEAK_DEFAULT,PARTIAL,交互体验,P1,fit participating airports + used missions/routes；另设“查看全部”,fitMap(),READY_BACKEND,Participating/selected/all object facts are available; fit policy is frontend-only.
GIS Runtime,时间窗播放,播放/拖动时间窗，当前事件和航链强调同步,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,PARTIAL,交互完善,P1,补播放速率/暂停反馈/键盘、选中时间窗稳定,gis-runtime.js,READY_BACKEND,Runtime projection supports window frames and canonical timeline facts.
GIS Runtime,损毁显示,前端只消费后端当前窗 projection，不解释 DamageEvent,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,GOOD,已实现,P2,保持,RunRuntimeService,READY_BACKEND,Window damage projection is generated server-side; frontend does not interpret DamageEvent math.
GIS Runtime,详情 Dock,机场/任务/路线/资源详情与选择同步,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,PARTIAL,交互细节,P1,统一与 Single Run 的 Dock 组件/焦点/动画,gis-runtime,READY_BACKEND,All required detail facts are available from canonical result payloads; dock state is frontend-only.
GIS Runtime,本地地图内核/瓦片,固定本地静态槽位；缺资产有明确状态,DEFERRED_RUNTIME,DEFERRED_RUNTIME,IMPLEMENTED_FALLBACK,DEFERRED_RUNTIME,运行环境,P2,由后续 Codex/部署阶段放 Leaflet 与离线瓦片，本轮不阻塞,用户明确后置,RUNTIME_DEFERRED,Local Leaflet/tile mount contract is coded; physical vendor/tile assets and real browser runtime are deferred to Codex/deployment.
Results,三工作区,损毁优化/多场景/配置比较独立，真实 Run 可追溯,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,GOOD,已实现,P2,保留,ResultsApi,READY_BACKEND,All three comparison builders/API contracts exist.
Results,R0/R1/R2 选择,只能选择后端批准的可比三元组,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,GOOD,已实现,P2,保留,damage-candidates/comparison,READY_BACKEND,Backend enforces role/comparability against real successful Runs.
Results,多场景比较,不输出 best；比较条件由后端校验,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,GOOD,已实现,P2,保留,scenario comparison,READY_BACKEND,Backend strict comparability and canonical comparison payload implemented.
Results,配置比较,显式 baseline；差值后端计算,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,GOOD,已实现,P2,保留,configuration comparison,READY_BACKEND,Backend strict comparable configuration builder + explicit baseline implemented.
Results,全机场表,全部机场，筛选只改变视图不改变总体,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,PARTIAL,视觉/性能,P1,表格 sticky/密度/搜索/横向策略；大数据量验证,results table,READY_BACKEND,Comparison payload retains all airports and backend shares/deltas.
Results,主分析图,能读取具体窗口和值，并与对象/详情联动,IMPLEMENTED_DATA,IMPLEMENTED,STATIC_FIRST_PASS,PARTIAL,分析交互,P0,共享 ChartController：tooltip、选窗、对象联动、统一轴尺度,results.js,READY_BACKEND,Backend supplies plotting facts; richer chart interactions are frontend-only.
Results,比较条件 Drawer,打开关闭不跳版；ESC/焦点返回；候选内部滚动,IMPLEMENTED_DATA,IMPLEMENTED,PARTIAL,PARTIAL,交互细节,P1,共享 Drawer；不要 display:none/grid 直接跳变,results.css,READY_BACKEND,Comparable candidate/query facts are backend supplied; drawer interaction is frontend-only.
Results,分段控件样式,Results 自身加载链必须拥有所需组件样式,N/A,N/A,BUG,BROKEN,CSS架构,P0,把 .segmented/.mini-select 移入 components.css；消除跨页偷依赖,results.html vs single-run.css,FRONTEND_ONLY,No additional business backend authority is required for this interaction; existing facts/errors are sufficient.
Results,报告导出,具备权限时输出正式比较/报告数据,PERMISSION_ONLY,MISSING,DISABLED,MISSING,功能缺失,P1,冻结 report payload/format 后实现 API/UI,results.export permission,READY_SOURCE_DATA_RENDERER_DEFERRED,POST /api/results/export-data returns report-data.v1 canonical source facts; final downloadable report file format/template is deferred.
Results,错误/空态,不同工作区的不可比、无候选、权限、网络错误可区分,IMPLEMENTED_ERROR_ENVELOPE,IMPLEMENTED,PARTIAL,PARTIAL,状态体验,P1,共享 error/empty state，不只底部 toast,results.js,READY_BACKEND,Stable API errors and empty collections are backend-ready; presentation is frontend-only.
